incorrect,correct,error_type,language,task
"driitare","dritare","extra_letter","sq","albanian_spelling_correction"
"canta","çanta","missing_diacritic","sq","albanian_spelling_correction"
"dritara","dritare","case_ending_error","sq","albanian_spelling_correction"
"pesëçind","pesëqind","c_q_confusion","sq","albanian_spelling_correction"
"kophti","kopshti","missing_letter","sq","albanian_spelling_correction"
"dhaore","dhanore","missing_letter","sq","albanian_spelling_correction"
"miqsi","miqësi","missing_letter","sq","albanian_spelling_correction"
"rtarkëncsha","rtarkëncshë","case_ending_error","sq","albanian_spelling_correction"
"lbiri","libri","letter_transposition","sq","albanian_spelling_correction"
"sthëpi","shtëpi","letter_transposition","sq","albanian_spelling_correction"
"rergull","rregull","letter_transposition","sq","albanian_spelling_correction"
"msëim","mësim","letter_transposition","sq","albanian_spelling_correction"
"kontrolon","kontrollon","digraph_reduction","sq","albanian_spelling_correction"
"funnd","fund","extra_letter","sq","albanian_spelling_correction"
"tetembëdhjetë","tetëmbëdhjetë","missing_diacritic","sq","albanian_spelling_correction"
"punnë","punë","extra_letter","sq","albanian_spelling_correction"
"ushrim","ushtrim","missing_letter","sq","albanian_spelling_correction"
"nerpsh","nrepsh","letter_transposition","sq","albanian_spelling_correction"
"ekspermente","eksperimente","missing_letter","sq","albanian_spelling_correction"
"driitë","dritë","extra_letter","sq","albanian_spelling_correction"
"histrike","historike","missing_letter","sq","albanian_spelling_correction"
"pusim","pushim","missing_letter","sq","albanian_spelling_correction"
"njohuriëve","njohurive","case_ending_error","sq","albanian_spelling_correction"
"gezuar","gëzuar","missing_diacritic","sq","albanian_spelling_correction"
"stuudiojn","studiojn","extra_letter","sq","albanian_spelling_correction"
"bhëen","bëhen","letter_transposition","sq","albanian_spelling_correction"
"msëuam","mësuam","letter_transposition","sq","albanian_spelling_correction"
"amdinistron","administron","letter_transposition","sq","albanian_spelling_correction"
"revvistë","revistë","extra_letter","sq","albanian_spelling_correction"
"përshkrimin","përshkrimi","case_ending_error","sq","albanian_spelling_correction"
"skollë","shkollë","digraph_reduction","sq","albanian_spelling_correction"
"fgiurë","figurë","letter_transposition","sq","albanian_spelling_correction"
"grafë","grafi","case_ending_error","sq","albanian_spelling_correction"
"maknë","makinë","missing_letter","sq","albanian_spelling_correction"
"karige","karrige","missing_letter","sq","albanian_spelling_correction"
"fjli","fjali","missing_letter","sq","albanian_spelling_correction"
"veprimtarë","veprimtari","case_ending_error","sq","albanian_spelling_correction"
"ndiihmon","ndihmon","extra_letter","sq","albanian_spelling_correction"
"trëësia","tërësia","letter_transposition","sq","albanian_spelling_correction"
"lxeon","lexon","letter_transposition","sq","albanian_spelling_correction"
"amdirimi","admirimi","letter_transposition","sq","albanian_spelling_correction"
"hane","hanë","case_ending_error","sq","albanian_spelling_correction"
"basshkon","bashkon","extra_letter","sq","albanian_spelling_correction"
"uhstruar","ushtruar","letter_transposition","sq","albanian_spelling_correction"
"lexxosh","lexosh","extra_letter","sq","albanian_spelling_correction"
"pesëdjetë","pesëdhjetë","missing_letter","sq","albanian_spelling_correction"
"skencore","shkencore","digraph_reduction","sq","albanian_spelling_correction"
"djhetë","dhjetë","letter_transposition","sq","albanian_spelling_correction"
"klaase","klase","extra_letter","sq","albanian_spelling_correction"
"shku","shoku","missing_letter","sq","albanian_spelling_correction"
"mahe","madhe","missing_letter","sq","albanian_spelling_correction"
"lbaoratori","laboratori","letter_transposition","sq","albanian_spelling_correction"
"teknologi","teknologji","digraph_reduction","sq","albanian_spelling_correction"
"ngrroh","ngroh","extra_letter","sq","albanian_spelling_correction"
"diel","diell","digraph_reduction","sq","albanian_spelling_correction"
"veëm","vetëm","missing_letter","sq","albanian_spelling_correction"
"komunikimin","komunikimit","case_ending_error","sq","albanian_spelling_correction"
"idkcraeo","idkcmraeo","missing_letter","sq","albanian_spelling_correction"
"digaf","digraf","missing_letter","sq","albanian_spelling_correction"
"idkme","idkume","missing_letter","sq","albanian_spelling_correction"
"mikkrofon","mikrofon","extra_letter","sq","albanian_spelling_correction"
"kmopetencave","kompetencave","letter_transposition","sq","albanian_spelling_correction"
"përkatësisa","përkatësisë","case_ending_error","sq","albanian_spelling_correction"
"punjmë","punojmë","missing_letter","sq","albanian_spelling_correction"
"mesimin","mësimin","missing_diacritic","sq","albanian_spelling_correction"
"kal","kalë","case_ending_error","sq","albanian_spelling_correction"
"familjë","familje","case_ending_error","sq","albanian_spelling_correction"
"kernari","krenari","letter_transposition","sq","albanian_spelling_correction"
